replicate,diagnosed_weakness,diagnostic_evidence,tutorial_type,target_metric,pre_score,post_score,improvement
0,hole_avoidance,"{""bumpiness"": 0.48187499999999994, ""hole_avoidance"": 1.465, ""line_efficiency"": 1.0, ""stack_height"": 0.6325000000000001, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-37.12050450922346,-40.28613688780356,-3.1656323785800993
1,hole_avoidance,"{""bumpiness"": 0.390625, ""hole_avoidance"": 1.6512499999999999, ""line_efficiency"": 1.0, ""stack_height"": 0.55625, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-39.33252873563218,-38.05469531717658,1.2778334184556002
2,hole_avoidance,"{""bumpiness"": 0.55, ""hole_avoidance"": 1.4075, ""line_efficiency"": 1.0, ""stack_height"": 0.61125, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-37.77753998874688,-37.96986354775829,-0.19232355901140608
3,hole_avoidance,"{""bumpiness"": 0.37374999999999997, ""hole_avoidance"": 1.96875, ""line_efficiency"": 1.0, ""stack_height"": 0.6012500000000001, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-38.59720695970696,-41.484262371615316,-2.8870554119083565
4,hole_avoidance,"{""bumpiness"": 0.40125, ""hole_avoidance"": 1.63875, ""line_efficiency"": 1.0, ""stack_height"": 0.56375, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-37.70031099786383,-38.6482905982906,-0.9479796004267698
5,hole_avoidance,"{""bumpiness"": 0.42750000000000005, ""hole_avoidance"": 1.47875, ""line_efficiency"": 1.0, ""stack_height"": 0.60375, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-40.22619629474468,-37.82686766405157,2.3993286306931125
6,hole_avoidance,"{""bumpiness"": 0.44625000000000004, ""hole_avoidance"": 1.7100000000000002, ""line_efficiency"": 1.0, ""stack_height"": 0.63, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-33.7128742188218,-41.947192028985505,-8.234317810163702
7,hole_avoidance,"{""bumpiness"": 0.42000000000000004, ""hole_avoidance"": 1.5975, ""line_efficiency"": 1.0, ""stack_height"": 0.615, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-43.51316467427662,-38.74967149061352,4.763493183663094
8,hole_avoidance,"{""bumpiness"": 0.49874999999999997, ""hole_avoidance"": 1.8775, ""line_efficiency"": 0.75, ""stack_height"": 0.6425, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-39.66310344827586,-36.86747766226777,2.7956257860080953
9,hole_avoidance,"{""bumpiness"": 0.421875, ""hole_avoidance"": 1.6337499999999998, ""line_efficiency"": 1.0, ""stack_height"": 0.6025, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-38.043255664088996,-36.3330097570689,1.710245907020095
10,hole_avoidance,"{""bumpiness"": 0.50125, ""hole_avoidance"": 1.6462499999999998, ""line_efficiency"": 1.0, ""stack_height"": 0.6675, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-36.72187054620838,-37.13768010839615,-0.41580956218776777
11,hole_avoidance,"{""bumpiness"": 0.43937499999999996, ""hole_avoidance"": 1.60625, ""line_efficiency"": 1.0, ""stack_height"": 0.5587500000000001, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-39.44776532329369,-34.8164679615829,4.631297361710786
12,hole_avoidance,"{""bumpiness"": 0.418125, ""hole_avoidance"": 1.7399999999999998, ""line_efficiency"": 1.0, ""stack_height"": 0.63375, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-39.75430625143269,-36.014683950060295,3.7396223013723926
13,hole_avoidance,"{""bumpiness"": 0.46187500000000004, ""hole_avoidance"": 1.5925, ""line_efficiency"": 1.0, ""stack_height"": 0.6012500000000001, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-39.018844352752396,-37.620135603969494,1.3987087487829015
14,hole_avoidance,"{""bumpiness"": 0.40750000000000003, ""hole_avoidance"": 1.59125, ""line_efficiency"": 1.0, ""stack_height"": 0.57375, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-36.464480256865315,-36.99822237783404,-0.533742120968725
15,hole_avoidance,"{""bumpiness"": 0.560625, ""hole_avoidance"": 1.5237500000000002, ""line_efficiency"": 1.0, ""stack_height"": 0.6575, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-38.90285375118708,-37.99214010004333,0.9107136511437517
16,hole_avoidance,"{""bumpiness"": 0.31625000000000003, ""hole_avoidance"": 1.42625, ""line_efficiency"": 1.0, ""stack_height"": 0.525, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-36.81819667355263,-38.03378066378066,-1.2155839902280334
17,hole_avoidance,"{""bumpiness"": 0.4575, ""hole_avoidance"": 1.41, ""line_efficiency"": 1.0, ""stack_height"": 0.5237499999999999, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-42.691883780332056,-40.1528073181299,2.5390764622021536
18,hole_avoidance,"{""bumpiness"": 0.40374999999999994, ""hole_avoidance"": 1.6375, ""line_efficiency"": 1.0, ""stack_height"": 0.58, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-38.95739286045971,-39.87244015940252,-0.9150472989428096
19,hole_avoidance,"{""bumpiness"": 0.434375, ""hole_avoidance"": 1.295, ""line_efficiency"": 1.0, ""stack_height"": 0.52, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-40.98236133256123,-34.82331053802828,6.159050794532952
20,hole_avoidance,"{""bumpiness"": 0.42374999999999996, ""hole_avoidance"": 1.8387499999999999, ""line_efficiency"": 1.0, ""stack_height"": 0.61125, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-35.46682098765432,-35.65529609279609,-0.18847510514176946
21,hole_avoidance,"{""bumpiness"": 0.45062499999999994, ""hole_avoidance"": 1.13375, ""line_efficiency"": 1.0, ""stack_height"": 0.5287499999999999, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-31.22440910344136,-40.67929693763027,-9.45488783418891
